"filename", "language", "JSON", "HTML", "JavaScript", "TypeScript", "JSON with Comments", "XML", "TypeScript React", "Docker", "Ignore", "PostCSS", "Markdown", "comment", "blank", "total"
"/home/sena/Documents/ANiStorage/web/src/components/addManga/integrate/Input.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 4, 31
"/home/sena/Documents/ANiStorage/web/src/components/chat/Chat.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 18, 11, 109
"/home/sena/Documents/ANiStorage/web/src/components/chat/DesktopChatModal.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 7, 94
"/home/sena/Documents/ANiStorage/web/src/components/chat/Messages.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 5, 44
"/home/sena/Documents/ANiStorage/web/src/components/chat/MobileChatModal.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 7, 111
"/home/sena/Documents/ANiStorage/web/src/components/collection/Card.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 4, 19
"/home/sena/Documents/ANiStorage/web/src/components/connections/AcceptList.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 7, 117
"/home/sena/Documents/ANiStorage/web/src/components/connections/ConnectionsList.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 6, 96
"/home/sena/Documents/ANiStorage/web/src/components/connections/Filter.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 4, 57
"/home/sena/Documents/ANiStorage/web/src/components/connections/PendingList.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 6, 91
"/home/sena/Documents/ANiStorage/web/src/components/connections/index.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/home/sena/Documents/ANiStorage/web/src/components/feed/Hero.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 7, 67
"/home/sena/Documents/ANiStorage/web/src/components/feed/MostRead.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 7, 53
"/home/sena/Documents/ANiStorage/web/src/components/feed/RecentPosts.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 1, 9, 96
"/home/sena/Documents/ANiStorage/web/src/components/feed/TrendingPosts.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 9, 65
"/home/sena/Documents/ANiStorage/web/src/components/feed/index.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/home/sena/Documents/ANiStorage/web/src/components/feed/integrate/RecentPost.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 186, 0, 0, 0, 0, 0, 13, 199
"/home/sena/Documents/ANiStorage/web/src/components/feed/integrate/TrendingPost.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 191, 0, 0, 0, 0, 0, 15, 206
"/home/sena/Documents/ANiStorage/web/src/components/feed/integrate/banners-data.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"/home/sena/Documents/ANiStorage/web/src/components/index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4
"/home/sena/Documents/ANiStorage/web/src/components/login/SignIn.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 141, 0, 0, 0, 0, 0, 9, 150
"/home/sena/Documents/ANiStorage/web/src/components/login/SignUp.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 148, 0, 0, 0, 0, 0, 15, 163
